iter	Passed	Remaining
0	147	147813
1	150	75205
2	152	50791
3	154	38493
4	158	31522
5	178	29508
6	185	26271
7	188	23409
8	191	21099
9	193	19164
10	196	17622
11	197	16289
12	199	15182
13	202	14274
14	205	13511
15	209	12853
16	218	12641
17	221	12080
18	225	11668
19	233	11457
20	236	11014
21	238	10608
22	240	10229
23	243	9890
24	247	9661
25	249	9362
26	251	9080
27	253	8808
28	255	8555
29	260	8409
30	264	8276
31	267	8077
32	269	7884
33	274	7812
34	277	7663
35	292	7825
36	296	7706
37	307	7778
38	318	7858
39	325	7818
40	328	7674
41	330	7539
42	334	7453
43	337	7326
44	340	7233
45	345	7163
46	349	7086
47	361	7176
48	364	7066
49	378	7191
50	380	7088
51	382	6981
52	386	6901
53	389	6820
54	393	6757
55	397	6698
56	399	6613
57	402	6530
58	405	6471
59	423	6640
60	438	6756
61	462	6996
62	464	6903
63	465	6807
64	467	6720
65	477	6758
66	508	7079
67	511	7013
68	513	6926
69	516	6855
70	518	6779
71	520	6708
72	571	7254
73	585	7325
74	588	7257
75	616	7492
76	620	7432
77	646	7643
78	648	7563
79	651	7487
80	653	7409
81	654	7332
82	662	7317
83	664	7243
84	666	7169
85	667	7095
86	669	7023
87	671	6954
88	673	6894
89	681	6894
90	697	6971
91	700	6909
92	701	6842
93	703	6777
94	704	6714
95	706	6654
96	708	6593
97	709	6533
98	712	6482
99	714	6432
100	717	6385
101	719	6337
102	721	6286
103	740	6383
104	757	6453
105	764	6451
106	766	6399
107	768	6349
108	779	6370
109	781	6322
110	782	6270
111	802	6366
112	818	6423
113	820	6373
114	834	6424
115	839	6394
116	842	6356
117	845	6319
118	849	6287
119	851	6245
120	864	6277
121	866	6235
122	868	6195
123	871	6158
124	878	6152
125	881	6112
126	883	6073
127	885	6031
128	887	5990
129	889	5951
130	891	5914
131	893	5875
132	895	5838
133	899	5811
134	901	5778
135	914	5806
136	916	5771
137	917	5732
138	919	5695
139	921	5657
140	922	5623
141	925	5589
142	927	5556
143	929	5527
144	932	5497
145	934	5465
146	958	5562
147	974	5607
148	976	5577
149	979	5549
150	988	5556
151	990	5527
152	1004	5558
153	1006	5527
154	1008	5495
155	1009	5461
156	1011	5428
157	1012	5395
158	1014	5363
159	1015	5332
160	1017	5302
161	1034	5351
162	1050	5393
163	1066	5437
164	1068	5408
165	1071	5383
166	1074	5359
167	1076	5333
168	1079	5305
169	1095	5349
170	1098	5324
171	1101	5301
172	1127	5387
173	1129	5363
174	1132	5338
175	1140	5340
176	1142	5312
177	1156	5341
178	1172	5378
179	1174	5350
180	1175	5320
181	1204	5411
182	1205	5383
183	1207	5354
184	1209	5326
185	1211	5300
186	1213	5274
187	1215	5249
188	1218	5228
189	1220	5202
190	1223	5181
191	1225	5158
192	1227	5134
193	1229	5108
194	1231	5085
195	1233	5060
196	1235	5034
197	1236	5009
198	1238	4984
199	1248	4992
200	1250	4971
201	1262	4986
202	1265	4967
203	1267	4945
204	1270	4925
205	1271	4902
206	1290	4945
207	1292	4923
208	1294	4900
209	1296	4876
210	1297	4853
211	1299	4829
212	1301	4808
213	1303	4786
214	1354	4946
215	1361	4941
216	1410	5089
217	1413	5070
218	1424	5079
219	1440	5105
220	1457	5138
221	1471	5156
222	1474	5135
223	1478	5122
224	1485	5115
225	1491	5106
226	1507	5132
227	1512	5121
228	1516	5107
229	1524	5103
230	1552	5169
231	1567	5189
232	1571	5174
233	1598	5231
234	1644	5354
235	1660	5375
236	1675	5395
237	1706	5464
238	1710	5445
239	1713	5425
240	1737	5470
241	1738	5446
242	1740	5422
243	1742	5398
244	1744	5374
245	1745	5350
246	1747	5327
247	1750	5306
248	1767	5330
249	1783	5349
250	1799	5368
251	1800	5345
252	1802	5322
253	1822	5353
254	1827	5338
255	1831	5322
256	1835	5307
257	1838	5288
258	1842	5271
259	1844	5250
260	1846	5229
261	1849	5209
262	1851	5187
263	1853	5168
264	1880	5216
265	1889	5213
266	1893	5198
267	1895	5178
268	1898	5158
269	1901	5140
270	1905	5124
271	1907	5104
272	1909	5083
273	1910	5062
274	1912	5042
275	1914	5021
276	1916	5001
277	1918	4982
278	1919	4960
279	1922	4942
280	1938	4959
281	1940	4940
282	1952	4946
283	1954	4928
284	1956	4909
285	1958	4889
286	1960	4869
287	1961	4850
288	1963	4831
289	1966	4813
290	1974	4811
291	1977	4794
292	1979	4776
293	1982	4759
294	1984	4741
295	1986	4724
296	1988	4706
297	1990	4688
298	1992	4670
299	1994	4653
300	1996	4635
301	1997	4617
302	1999	4600
303	2002	4584
304	2005	4570
305	2008	4556
306	2011	4539
307	2013	4523
308	2015	4507
309	2017	4491
310	2019	4474
311	2021	4458
312	2023	4442
313	2025	4426
314	2027	4409
315	2029	4394
316	2032	4379
317	2035	4365
318	2037	4350
319	2044	4343
320	2046	4328
321	2049	4314
322	2091	4382
323	2098	4378
324	2101	4364
325	2104	4350
326	2106	4335
327	2120	4345
328	2123	4331
329	2126	4317
330	2128	4302
331	2130	4287
332	2159	4326
333	2174	4336
334	2190	4349
335	2205	4359
336	2207	4343
337	2210	4328
338	2213	4315
339	2215	4300
340	2218	4287
341	2223	4277
342	2227	4265
343	2230	4252
344	2241	4256
345	2257	4267
346	2260	4254
347	2263	4240
348	2266	4226
349	2268	4213
350	2286	4228
351	2302	4238
352	2304	4223
353	2307	4210
354	2309	4196
355	2312	4182
356	2315	4169
357	2317	4155
358	2319	4142
359	2325	4133
360	2328	4121
361	2332	4110
362	2334	4097
